Season,#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Height,Weight
2020,1,Shane Larkin,EFE,25,29.9,22.2,6.7,12.7,.530,3.5,6.9,.509,5.2,5.8,.903,0.5,2.6,3.1,4.1,1.3,0.0,2.2,1.3,5-11,175
2020,3,Mike James,CSKA,28,28.6,21.1,6.5,14.9,.440,2.8,6.7,.420,5.2,6.2,.833,0.5,2.9,3.3,4.3,0.7,0.1,3.0,1.6,6-1,190
2020,4,Nikola Mirotic,FCB,28,27.8,19.0,6.2,12.8,.483,1.9,5.8,.331,4.8,5.5,.869,1.7,5.2,6.9,1.6,1.2,0.3,1.9,1.8,6-10,250
2020,5,Scottie Wilbekin,MAC,26,26.1,16.0,5.0,11.6,.434,3.4,7.9,.432,2.5,3.1,.813,0.2,1.8,2.0,3.4,1.2,0.0,2.2,1.5,6-2,176
2020,6,Kevin Punter,ZVE,12,22.1,15.9,5.2,10.8,.477,2.1,4.3,.481,3.5,3.9,.894,0.2,0.9,1.1,1.5,0.6,0.1,0.8,2.0,6-2,190
2020,7,Nando De Colo,FEN,24,28.7,15.9,5.3,10.5,.506,1.7,4.2,.400,3.6,3.8,.956,0.8,2.2,3.0,3.0,0.6,0.0,2.9,1.9,6-5,195
2020,8,Tornike Shengelia,BASK,28,30.4,15.9,6.1,11.4,.533,1.2,3.1,.391,2.5,3.3,.769,1.8,3.8,5.6,2.9,1.0,0.5,2.8,2.4,6-9,220
2020,12,Rokas Giedraitis,BER,25,27.0,13.8,4.6,9.7,.469,2.0,5.1,.398,2.6,3.1,.844,1.2,2.8,4.0,1.4,1.4,0.1,1.1,1.9,6-7,179
2020,14,Nick Calathes,PAN,28,32.2,13.3,5.1,12.1,.420,1.1,4.1,.281,2.0,3.4,.594,0.4,4.5,4.9,9.1,1.1,0.1,3.3,2.8,6-6,213
2020,21,Lorenzo Brown,ZVE,27,25.3,12.3,4.6,10.9,.417,0.8,2.7,.288,2.4,2.9,.823,0.7,2.6,3.3,4.6,1.1,0.4,2.8,1.9,6-5,189
2020,24,Zach LeDay,ZAL,28,22.4,11.8,4.0,7.9,.505,0.5,1.1,.433,3.3,3.9,.844,1.7,3.0,4.7,1.0,0.5,0.7,1.7,2.1,6-7,230
2020,26,Devin Booker,KHI,28,22.3,11.6,4.5,7.5,.595,0.6,1.3,.459,2.0,2.4,.851,1.8,3.0,4.8,1.2,0.8,0.3,1.4,2.3,6-8,250
2020,27,Kostas Sloukas,FEN,25,29.1,11.6,3.6,7.8,.454,1.4,3.3,.422,3.0,3.2,.938,0.7,2.1,2.8,6.1,0.9,0.0,2.6,2.0,6-2,210
2020,28,Marius Grigonis,ZAL,10,25.8,11.5,3.8,8.5,.447,1.7,4.4,.386,2.2,2.6,.846,0.6,2.0,2.6,2.0,0.5,0.1,1.3,2.9,6-6,195
2020,29,Vladimir Lucic,BAY,26,27.8,11.3,4.0,7.3,.547,1.0,2.3,.426,2.3,2.8,.847,0.8,3.0,3.8,1.5,1.0,0.2,1.4,1.7,6-8,200
2020,34,Jordan Loyd,VAL,18,21.9,11.1,3.5,8.4,.417,1.8,4.3,.429,2.3,2.9,.774,0.1,1.8,1.9,2.4,0.7,0.1,1.8,2.8,6-4,210
2020,37,Martin Hermannsson,BER,27,25.8,10.9,4.1,10.0,.410,1.1,3.2,.337,1.6,1.9,.860,0.3,1.3,1.6,4.8,0.5,0.0,2.7,2.1,6-3,170
2020,38,Ioannis Papapetrou,PAN,27,27.9,10.9,4.4,8.0,.556,1.2,3.3,.367,0.7,1.2,.606,0.9,3.2,4.1,0.8,0.7,0.5,0.6,2.5,6-8,225
2020,42,Lukas Lekavicius,ZAL,27,19.9,10.5,4.0,7.4,.535,0.7,1.9,.392,1.9,2.1,.862,0.3,1.0,1.3,2.8,0.5,0.0,1.5,2.4,6-0,167
2020,46,Nikola Milutinov,OLY,24,24.7,10.3,3.5,5.3,.656,0.0,0.0,.000,3.3,4.3,.765,3.6,4.6,8.2,1.2,0.5,0.6,1.0,1.5,7-0,220
2020,48,Tyler Dorsey,MAC,28,18.9,10.0,3.3,8.6,.388,1.9,4.7,.394,1.5,2.3,.683,0.5,1.9,2.4,1.5,1.0,0.1,1.5,2.1,6-5,183
2020,50,Facundo Campazzo,RMB,28,23.9,9.9,2.9,7.2,.403,1.3,4.0,.310,2.9,3.3,.870,0.3,1.9,2.3,7.1,1.4,0.0,2.6,2.3,5-11,165
2020,51,David Lighty,LYV,27,22.9,9.8,3.7,8.0,.465,1.0,2.9,.354,1.3,1.6,.814,0.8,1.7,2.6,1.7,0.9,0.1,1.1,1.9,6-6,216
2020,53,Thomas Walkup,ZAL,28,25.8,9.6,3.7,7.4,.495,1.0,2.1,.467,1.3,1.5,.857,0.9,2.7,3.6,5.5,1.0,0.1,2.7,2.7,6-4,195
2020,54,Brandon Davies,FCB,28,20.1,9.6,3.7,7.2,.515,0.2,0.5,.385,2.0,2.5,.786,1.2,2.7,3.9,1.6,1.1,0.6,2.0,2.5,6-10,240
2020,55,Rodrigue Beaubois,EFE,26,21.2,9.5,3.5,7.7,.455,1.7,4.2,.398,0.9,1.1,.821,0.1,1.5,1.6,1.7,0.9,0.3,1.0,1.8,6-1,183
2020,56,Tibor Pleiss,EFE,28,18.7,9.5,4.3,6.9,.613,0.1,0.6,.250,0.9,1.0,.926,1.6,2.6,4.3,0.4,0.5,0.5,0.9,1.4,7-3,256
