,player,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,PPG,Height,Weight
98,Craig Brackins,6.285714285714286,0.6428571428571429,2.357142857142857,0.273,0.21428571428571427,0.6428571428571429,0.333,0.07142857142857142,0.14285714285714285,0.5,0.35714285714285715,0.7142857142857143,1.0714285714285714,0.5714285714285714,0.0,0.07142857142857142,0.2857142857142857,0.42857142857142855,1.5714285714285714,80.5,229.0
99,Craig Smith,9.872340425531915,1.2553191489361701,2.4893617021276597,0.504,0.0,0.02127659574468085,0.0,0.8085106382978723,1.127659574468085,0.717,0.7021276595744681,1.6382978723404256,2.3404255319148937,0.40425531914893614,0.3404255319148936,0.10638297872340426,0.5106382978723404,1.1702127659574468,3.3191489361702127,77.5,259.0
100,DaQuan Jeffries,21.975,2.5,6.125,0.408,1.175,3.4,0.346,0.475,0.575,0.826,0.775,2.0,2.775,1.125,0.6,0.575,0.725,2.2,6.65,76.0,215.6
101,Daequan Cook,9.0,1.0408163265306123,3.4081632653061225,0.305,0.5306122448979592,1.8571428571428572,0.286,0.1836734693877551,0.24489795918367346,0.75,0.14285714285714285,1.1020408163265305,1.2448979591836735,0.3877551020408163,0.16326530612244897,0.14285714285714285,0.30612244897959184,0.5306122448979592,2.795918367346939,75.0,203.0
102,Dajuan Wagner,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,72.75,193.0
103,Damian Lillard,36.08620689655172,7.655172413793103,17.103448275862068,0.448,3.396551724137931,9.03448275862069,0.376,6.241379310344827,6.775862068965517,0.921,0.5,4.189655172413793,4.689655172413793,7.068965517241379,1.206896551724138,0.1724137931034483,2.793103448275862,1.6724137931034482,24.948275862068964,73.75,188.8
104,Damien Wilkins,8.0,0.6842105263157895,2.0526315789473686,0.333,0.21052631578947367,0.9473684210526315,0.222,0.15789473684210525,0.21052631578947367,0.75,0.2631578947368421,0.5789473684210527,0.8421052631578947,0.47368421052631576,0.10526315789473684,0.05263157894736842,0.2631578947368421,0.3684210526315789,1.736842105263158,76.5,222.0
105,Damone Brown,10.857142857142858,1.6428571428571428,4.428571428571429,0.371,0.2857142857142857,0.7857142857142857,0.364,0.2857142857142857,0.6428571428571429,0.444,0.7142857142857143,1.2857142857142858,2.0,1.0,0.07142857142857142,0.42857142857142855,1.0714285714285714,1.2142857142857142,3.857142857142857,80.25,202.0
106,Dan Langhi,6.166666666666667,0.8333333333333334,2.3333333333333335,0.357,0.16666666666666666,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,1.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,1.1666666666666667,2.1666666666666665,81.0,197.5
107,Daniel Hamilton,10.736842105263158,1.2105263157894737,3.1578947368421053,0.383,0.42105263157894735,1.2105263157894737,0.348,0.15789473684210525,0.3157894736842105,0.5,0.5263157894736842,1.9473684210526316,2.473684210526316,1.1578947368421053,0.3157894736842105,0.05263157894736842,0.8421052631578947,1.0,3.0,78.25,197.0
108,Danny Granger,20.433333333333334,2.1666666666666665,5.4,0.401,1.0,2.8,0.357,0.9333333333333333,1.2333333333333334,0.757,0.6666666666666666,2.0,2.6666666666666665,0.5666666666666667,0.43333333333333335,0.2,0.8,2.2333333333333334,6.266666666666667,79.5,225.4
109,Dante Cunningham,14.5,1.171875,2.46875,0.475,0.46875,1.015625,0.462,0.21875,0.28125,0.778,0.75,2.1875,2.9375,0.78125,0.421875,0.203125,0.34375,1.109375,3.03125,79.0,227.4
110,Dante Exum,19.11111111111111,3.3333333333333335,6.944444444444445,0.48,1.1666666666666667,2.611111111111111,0.447,1.2777777777777777,1.7222222222222223,0.742,0.2222222222222222,1.4444444444444444,1.6666666666666667,2.7777777777777777,0.6666666666666666,0.16666666666666666,1.0555555555555556,1.7222222222222223,9.11111111111111,76.5,196.3
111,Darius Bazley,16.88888888888889,2.0,3.3333333333333335,0.6,0.2222222222222222,0.8888888888888888,0.25,1.1111111111111112,1.3333333333333333,0.833,0.8888888888888888,2.2222222222222223,3.111111111111111,0.7777777777777778,0.6666666666666666,0.7777777777777778,0.8888888888888888,0.3333333333333333,5.333333333333333,79.75,208.4
112,Darius Johnson-Odom,5.0,0.0,2.3333333333333335,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,1.0,0.0,73.5,212.0
